epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,20285.7,0.48118,0.28323,0.83464,0.96773,0.96287,0.98157,0.90082,0.35107,0.20685,0.81136,0.000841577,0.000841577,0.000841577
133,20395.2,0.47851,0.27946,0.83393,0.96775,0.96245,0.98152,0.90158,0.35024,0.20628,0.81117,0.00083929,0.00083929,0.00083929
134,20504.2,0.47939,0.27938,0.83287,0.96889,0.96134,0.98163,0.90222,0.34955,0.20603,0.81097,0.000836989,0.000836989,0.000836989
135,20613.5,0.4753,0.27806,0.83431,0.96882,0.96182,0.98173,0.90259,0.34887,0.20564,0.81082,0.000834676,0.000834676,0.000834676
136,20723.1,0.4762,0.27729,0.83384,0.96908,0.96197,0.9817,0.90287,0.34811,0.20531,0.81063,0.000832349,0.000832349,0.000832349
137,20831.1,0.47448,0.27783,0.83191,0.9685,0.96231,0.98154,0.90303,0.3474,0.20505,0.81045,0.00083001,0.00083001,0.00083001
138,20939.6,0.4698,0.27442,0.83048,0.96981,0.96162,0.98153,0.90319,0.34678,0.2046,0.81026,0.000827658,0.000827658,0.000827658
139,21048.2,0.46886,0.27457,0.83286,0.97031,0.96204,0.98158,0.90329,0.34608,0.20409,0.81013,0.000825293,0.000825293,0.000825293
140,21156.7,0.47203,0.2762,0.83088,0.97027,0.96252,0.98162,0.90423,0.34538,0.20368,0.80998,0.000822915,0.000822915,0.000822915
141,21264.8,0.46816,0.27476,0.82935,0.97063,0.96249,0.98173,0.90448,0.34475,0.20332,0.80982,0.000820525,0.000820525,0.000820525
142,21373.5,0.46711,0.27383,0.82961,0.97001,0.96364,0.98272,0.90451,0.34408,0.20309,0.80967,0.000818122,0.000818122,0.000818122
143,21482.6,0.46602,0.27293,0.83001,0.97065,0.96259,0.98273,0.90519,0.3435,0.20269,0.80952,0.000815707,0.000815707,0.000815707
144,21592.4,0.46209,0.27148,0.82968,0.97069,0.96244,0.98222,0.90516,0.34283,0.20244,0.80937,0.00081328,0.00081328,0.00081328
